NID_MACROAREA;NID_AREA;NID_PI;FREQUENZA_PI;DIREZIONE_PI
3;1;216;F1;PI_NORMAL
3;1;217;F1;PI_NORMAL
3;1;218;F1;PI_REVERSE
3;1;219;F2;PI_REVERSE
3;1;223;F1;PI_NORMAL
3;1;224;F2;PI_NORMAL
3;1;225;F1;PI_REVERSE
3;1;226;F1;PI_REVERSE
3;1;227;F1;PI_NORMAL
3;1;228;F1;PI_NORMAL
3;1;232;F2;PI_REVERSE
3;1;233;F1;PI_REVERSE
3;1;301;F1;PI_REVERSE
3;1;302;F1;PI_NORMAL
3;1;303;F2;PI_NORMAL
3;1;309;F1;PI_REVERSE
3;1;310;F1;PI_REVERSE
3;1;311;F1;PI_NORMAL
3;1;312;F1;PI_REVERSE
3;1;313;F1;PI_NORMAL
3;1;314;F2;PI_NORMAL
3;1;315;F1;PI_NORMAL
3;1;320;F1;PI_REVERSE
3;1;321;F2;PI_REVERSE
3;1;322;F1;PI_NORMAL
3;1;323;F1;PI_NORMAL
3;1;324;F1;PI_REVERSE
3;1;325;F1;PI_REVERSE
3;1;326;F1;PI_NORMAL
3;1;327;F1;PI_NORMAL
3;1;334;F1;PI_REVERSE
3;1;335;F1;PI_REVERSE
3;1;338;F1;PI_REVERSE
4;5;681;F1;PI_REVERSE
